# Pathway	Exp1A1_prefix.assembled_Coverage	Exp1A2_prefix.assembled_Coverage	Exp1AS1_prefix.assembled_Coverage	Exp1AS2_prefix.assembled_Coverage	Exp1C1_prefix.assembled_Coverage	Exp1C2_prefix.assembled_Coverage	Exp1S1_prefix.assembled_Coverage	Exp1S2_prefix.assembled_Coverage	Exp2A1_prefix.assembled_Coverage	Exp2A2_prefix.assembled_Coverage	Exp2AS1_prefix.assembled_Coverage	Exp2AS2_prefix.assembled_Coverage	Exp2C1New.assembled_Coverage	Exp2C2_prefix.assembled_Coverage	Exp2S1_prefix.assembled_Coverage	Exp2S2_prefix.assembled_Coverage	Exp3A1_prefix.assembled_Coverage	Exp3A2_prefix.assembled_Coverage	Exp3AS1_prefix.assembled_Coverage	Exp3AS2_prefix.assembled_Coverage	Exp3C1_prefix.assembled_Coverage	Exp3C2_prefix.assembled_Coverage	Exp3S1_prefix.assembled_Coverage	Exp3S2_prefix.assembled_Coverage
PWY-5863: superpathway of phylloquinol biosynthesis	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
PWY-5863: superpathway of phylloquinol biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000009	0.0000273704	0.0000159057	0.0000000214	0.0000000235	0.0011828413	0.0000000439	0.0002278475	0	0	0.0040939645	0.0000004704	0	0	0.0001123215	0.0000000232	0.0157122055	0.0737785448	0.0423010269	0.0000214945	0.0068675844	0.0163581683	0.0016519314	0.0006015705
PWY-5896: superpathway of menaquinol-10 biosynthesis	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
PWY-5896: superpathway of menaquinol-10 biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000026	0.0000821065	0.0000477156	0.0000000642	0.0000000706	0.0035401025	0.0000001317	0.0006830674	0	0	0.0121668027	0.0000014111	0	0	0.0003367750	0.0000000697	0.0442414844	0.1914769714	0.1080584052	0.0000644372	0.0191016731	0.0464547104	0.0049357671	0.0018009464
PWY-5897: superpathway of menaquinol-11 biosynthesis	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000474	0.0000000010	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000004	0.0000001549	0.0000000042	0.0000000000	0.0000000000	0.0000000002	0.0000000022	0.0000001361
PWY-5897: superpathway of menaquinol-11 biosynthesis|g__Escherichia.s__Escherichia_coli	0.2664960506	0.0024328188	0.1652361772	0.0208958103	0.0002883313	0.0055854954	0.1774948511	0.6182314442	0	0	0.0174983130	0.0015182513	0	0	0.0046166563	0.0041262914	0.4430078068	0.4278590460	0.3134699882	0.0041938490	0.1968495258	0.4168410423	0.3235165547	0.4182280642
PWY-5898: superpathway of menaquinol-12 biosynthesis	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000474	0.0000000010	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000004	0.0000001549	0.0000000042	0.0000000000	0.0000000000	0.0000000002	0.0000000022	0.0000001361
PWY-5898: superpathway of menaquinol-12 biosynthesis|g__Escherichia.s__Escherichia_coli	0.2664960506	0.0024328188	0.1652361772	0.0208958103	0.0002883313	0.0055854954	0.1774948511	0.6182314442	0	0	0.0174983130	0.0015182513	0	0	0.0046166563	0.0041262914	0.4430078068	0.4278590460	0.3134699882	0.0041938490	0.1968495258	0.4168410423	0.3235165547	0.4182280642
PWY-5899: superpathway of menaquinol-13 biosynthesis	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000474	0.0000000010	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000004	0.0000001549	0.0000000042	0.0000000000	0.0000000000	0.0000000002	0.0000000022	0.0000001361
PWY-5899: superpathway of menaquinol-13 biosynthesis|g__Escherichia.s__Escherichia_coli	0.2664960506	0.0024328188	0.1652361772	0.0208958103	0.0002883313	0.0055854954	0.1774948511	0.6182314442	0	0	0.0174983130	0.0015182513	0	0	0.0046166563	0.0041262914	0.4430078068	0.4278590460	0.3134699882	0.0041938490	0.1968495258	0.4168410423	0.3235165547	0.4182280642
PWY-5913: TCA cycle VI (obligate autotrophs)	0.0000000000	0.0000000000	0.0000000000	0.0000000001	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000959	0.0000000253	0.0000000000	0.0000000000	0.0000000006	0.0000000002
PWY-5913: TCA cycle VI (obligate autotrophs)|g__Escherichia.s__Escherichia_coli	0.0000000000	0.0000000000	0.0008273293	0.0000000013	0.0000000000	0.0000000001	0.0012056321	0.0031956129	0	0	0.3661805755	0.0433713103	0	0	0.0338427046	0.2674003260	0.0003642874	0.0000001200	0.0736407656	0.0066676244	0.0000000062	0.0000011959	0.0853085910	0.0523030356
PWY-5913: TCA cycle VI (obligate autotrophs)|unclassified	0.0000000771	0	0	0.0000104951	0.0021335055	0.0073489148	0	0.1956236943	0	0	0	0	0.3274722430	0	0	0	0	0	0	0	0	0	0	0
PWY-5918: superpathay of heme biosynthesis from glutamate	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0.0000000000	0	0.0000000000	0
PWY-5918: superpathay of heme biosynthesis from glutamate|g__Enterobacter.s__Enterobacter_cloacae	0.0000000018	0.0000000001	0.0051802964	0.0000000223	0.0000000000	0.0000000000	0.0000012646	0.0000825784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5920: superpathway of heme biosynthesis from glycine	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5941: glycogen degradation II (eukaryotic)	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0	0	0	0	0	0	0	0.0000000000	0	0	0	0	0	0	0	0
PWY-5941: glycogen degradation II (eukaryotic)|unclassified	0.0002517735	0.0444400532	0.0578776814	0	0.6273041116	0	0.0740571780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5971: palmitate biosynthesis II (bacteria and plants)	0.0000000000	0.0000000000	0	0.0000000000	0	0.0000000000	0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
PWY-5971: palmitate biosynthesis II (bacteria and plants)|unclassified	0.0000000000	0.0292063288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis	0.0000000000	0.0000000000	0.0005858372	0.0058325448	0.0000000000	0.0000000000	0.0997504449	0.0015271418	0.0000000000	0.0000002789	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000094416	0.0000001247	0.0007121777	0.0000010829	0.0000000001	0.0000000011	0.0000000031	0.0001977735
PWY-5973: cis-vaccenate biosynthesis|g__Eubacterium.s__Eubacterium_rectale	0	0	0	0	0	0	0	0	0.1599522207	0	0.6187446727	0.2977530908	0	0.3925664095	0	0	0	0.7449825002	0.6512711701	0.4108070314	0.6277663311	0.2811727516	0.7065511789	0
PWY-5973: cis-vaccenate biosynthesis|g__Lactobacillus.s__Lactobacillus_salivarius	0	0.5265234729	0	0	0.4564317394	0.5684973546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5973: cis-vaccenate biosynthesis|unclassified	0.0947391960	0.0224796730	0.0047815284	0	0.0172755881	0.1332045536	0.0063724258	0	0.1630743411	0	0.0017133960	0	0.0052654939	0.1480276206	0	0	0.0000025874	0.0946717020	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)	0.0000000000	0.0000000001	0.0000000001	0.0000000001	0.0000000000	0.0000000000	0.0000000003	0.0000000111	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000001	0.0000000000	0.0000000100	0.0000007470	0.0000000000	0.0000000013	0.0000000001	0.0000000012
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Enterobacter.s__Enterobacter_cloacae	0	0.0000000000	0.0000000000	0	0.0000000000	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Escherichia.s__Escherichia_coli	0.0000193699	0.0021935476	0.0933894776	0.0127284779	0.0049907145	0.0048271083	0.0398297528	0.0310997642	0	0	0.0176469702	0.0002415136	0	0	0.0017945724	0.0052404584	0.3425549587	0.0649780753	0.0046615410	0.1618434436	0.1104133287	0.0892635498	0.0000146462	0.0144449706
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Klebsiella.s__Klebsiella_pneumoniae	0.0072731476	0.0011587647	0.0021519570	0.0184574718	0.0000000033	0.0000001850	0.0153141556	0.2494573057	0.0000016244	0.0000157001	0	0	0.0000005200	0.0001234595	0	0	0	0	0	0	0	0	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)|unclassified	0.0001088621	0.0178340301	0	0	0	0	0	0	0	0	0	0	0	0.0071545441	0	0	0	0	0	0	0	0	0	0
PWY-6113: superpathway of mycolate biosynthesis	0.0000000000	0.0000000000	0	0.0000000000	0	0.0000000000	0	0	0.0000000000	0	0.0000000000	0.0000000000	0.0000000000	0	0.0000000000	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
PWY-6113: superpathway of mycolate biosynthesis|unclassified	0.0000000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.8573674533	0.9366836800	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	0.9284825668	0.3353213159	0.1087146937	0.6744508291	0.3895085446	0.0237333492	0.0754014095	0.0014613364
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bifidobacterium.s__Bifidobacterium_longum	0.4384984858	0.0831249202	0.5794644031	0.6087089947	0.1296572190	0.4078132287	0.0561016702	0.3766282862	0	0	0.4574466542	0.2555613733	0.7063837551	0	0.4986766335	0.6196918842	0.2881460539	0.0428333258	0.3156539931	0.1648103961	0.3510628749	0.3956709975	0.0856167610	0.0523968749
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Butyrivibrio.s__Butyrivibrio_crossotus	0.5168227802	0.5412027852	0	0	0	0	0.7395687394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	0	0	0	0	0	0	0	0	0.2493740835	0.2955627166	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Clostridiales_noname.s__Bacteroides_pectinophilus	0.4469877842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Collinsella.s__Collinsella_aerofaciens	0.5625956938	0	0	0	0.7198803278	0	0	0	0.4112500295	0.7739185935	0	0.3127818893	0.4139909711	0.7093614507	0.7052462727	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Dorea.s__Dorea_longicatena	0	0.5647228591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0015584230	0.0630196524	0.0603404415	0.0167985467	0.0064352008	0.1782301983	0.0038023736	0.2277930696	0	0	0.1926029471	0.5471160155	0	0	0.1683627249	0.0398418393	0.0070743824	0.0006127961	0.1422855251	0.1693091224	0.0026914985	0.0767062905	0.2629046427	0.2275417359
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0023348291	0	0.1935749718	0	0.0238750425	0	0	0.1698312902	0.2387540419	0.5001946137	0.3099604186	0	0.0619176041	0	0	0	0.1074051732	0.0050799021	0.0149420177	0.0284445931	0.0051363029	0.0000943689	0.0312305145	0.1278953758
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Klebsiella.s__Klebsiella_pneumoniae	0.3821518589	0.5128098916	0.0016715322	0.0774497002	0.2819900631	0.3902010103	0.1084647802	0.6196937899	0.2611596216	0.1702077082	0	0	0.0008804355	0.1547748768	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0.5400384247	0.8618615827	0.8788450548	0.8998931088	0.5749411149	0.6498671856	0.8756814845	0.8660852676	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Lactobacillus.s__Lactobacillus_ruminis	0.0000000000	0.0003771037	0.0000040979	0.0004535222	0.0000000004	0.0000020678	0.0000008971	0.0003704520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Lactobacillus.s__Lactobacillus_salivarius	0.6329592851	0	0.6284437415	0	0	0	0.5658974499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Methanobrevibacter.s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2978885214	0.3543764073	0.3682413577	0.3841777096	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	0.2923390479	0	0	0	0.3515661608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Roseburia.s__Roseburia_inulinivorans	0	0	0	0	0	0	0	0	0.5157760061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	0.8651621095	0.5536385125	0.9022237392	0.2332438275	0.8918060435	0.5023432524	0.6729178151	0.7120245701	0.2701668849	0.9526811424	0	0	0.8857579695	0.8341789004	0.1854714746	0.4907322961	0.0110240737	0.0859325651	0.0947049337	0.4881875202	0.9787383895	0.9870214487	0.0418768882	0.2215722012
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000	1.0000000000
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7141058660	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Alloscardovia.s__Alloscardovia_omnicolens	0.7092864995	0	0	0.4517506021	0	0	0.4748260306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0.0000807712	0.0000031990	0.0000011511	0.0000552061	0.0001025323	0.0002051821	0.0000162127	0.0000200690	0.0001470766	0.0000058469	0.0005441086	0.0046478554	0.0004572854	0.1411124020	0.0000275699	0.0000000094	0.8900866188	0.5694673974	0.9142852250	0.9121435618	0.8402905384	0.5814958038	0.0657195103	0.7136904168
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_angulatum	0.0264002249	0.2814648872	0.5435087744	0.2662969910	0.3622895142	0.0763675663	0.5937014647	0.6642899033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_animalis	0.2650354139	0.2546858568	0.5151227339	0.5384626545	0.0133479552	0.0767580622	0.7082937961	0.4141565443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_catenulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9659796230	0.9011731065	0.9112899866	0.3362238832	0.7216282980	0.5805776265	0.7710694829	0.7723763416
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_longum	0.6485286524	0.2523462399	0.6444702056	0.6715603101	0.5282392170	0.4829693655	0.2245833998	0.5081106587	0.3148930532	0.5411629962	0.5831957803	0.4165070025	0.7379345281	0	0.5268467154	0.6606802313	0.3346482564	0.4542993714	0.4773930591	0.2462585886	0.4061325198	0.5184723513	0.3831913525	0.4310064452
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	0	0	0	0	0	0	0	0	0.0550946763	0.0516899273	0.0660038643	0.0086200358	0.0016119573	0.0037467727	0.0700013876	0.0804174492	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Butyrivibrio.s__Butyrivibrio_crossotus	0.4983021214	0.5363570729	0	0.3550045848	0.6229568789	0.5106806236	0.8185745492	0.5641229919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	0	0	0	0	0	0	0.4799802519	0.2832825632	0.2117511818	0.2613201544	0.1163549916	0	0.2886175099	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Clostridiales_noname.s__Bacteroides_pectinophilus	0.4036629233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5285683801	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4349354014	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Collinsella.s__Collinsella_aerofaciens	0.5911734094	0.5438584432	0.5210943665	0.6689742837	0.7169425067	0.3888491277	0	0	0.3602484535	0.8006720468	0	0.3000504400	0.4168077848	0.7256285532	0.6847682540	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Dorea.s__Dorea_longicatena	0	0.5103993585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5709076265	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Enterobacter.s__Enterobacter_aerogenes	0.6015505470	0	0	0	0.3535680066	0.6059077694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Enterobacter.s__Enterobacter_cloacae	0.0905969882	0.1586561242	0.3367523740	0.4402087198	0.0531416484	0.2366553733	0.3006881712	0.0961537319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Escherichia.s__Escherichia_coli	0.0013037117	0.0538017959	0.0496939937	0.0134847072	0.0051551840	0.2814975750	0.0030472831	0.2014522528	0	0	0.1632053193	0.5372172380	0	0	0.1408244437	0.0321661636	0.0056748640	0.0004903034	0.3658544474	0.1403174153	0.1333234494	0.0997308490	0.2237131545	0.2343883749
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0018693791	0.3281976573	0.1661606578	0	0.0966433125	0.6822135885	0	0.1423529004	0.2019057504	0.5904823539	0.2777698523	0.3214305646	0.0524582983	0.4202677118	0	0.5623907268	0.0927044781	0.0040693122	0.0154889540	0.1345262198	0.0041765288	0.0000755006	0.0268080699	0.1097004448
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Klebsiella.s__Klebsiella_pneumoniae	0.4073587131	0.5171170769	0.1757550622	0.5205454416	0.2758079083	0.3531537517	0.0916640674	0.6163576163	0.2229861094	0.1412085164	0.3136181270	0.4654789251	0.0007051905	0.1576515351	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0.4844185020	0.8750940981	0.8602091819	0.8779882487	0.5311812603	0.5977074178	0.8832502855	0.8553427315	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lactobacillus.s__Lactobacillus_ruminis	0.0000000000	0.0014219271	0.0000318130	0.0057706454	0.0000000005	0.0004049458	0.0001219196	0.0003029642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lactobacillus.s__Lactobacillus_salivarius	0.6949730669	0.2678011411	0.5795345788	0.5576641013	0.1047017325	0	0.6229527100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Methanobrevibacter.s__Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3688554730	0.4740910010	0.4578003317	0.5410003885	0.7268626702	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	0.2507446149	0	0	0	0.3228204423	0	0	0	0	0	0	0	0	0	0	0	0	0.4602947626	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Roseburia.s__Roseburia_inulinivorans	0	0	0	0	0	0	0	0	0.4615168220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	0	0	0	0	0.6307614470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Weissella.s__Weissella_confusa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2939593593	0	0	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	0.8374227542	0.5803377501	0.9492124958	0.6412662096	0.9699651032	0.6098847762	0.9259850481	0.7956996019	0.2772087300	0.9454067264	0.2735069499	0	0.9631637899	0.9405842058	0.1675294027	0.8382982694	0.9565660589	0.9998688692	0.9570976109	0.9980569442	0.9908470161	0.9893669876	0.0825456126	0.8708940315
PWY-6123: inosine-5'-phosphate biosynthesis I	0.9644404099	0.9940016657	0.4951913981	0.9835803821	0.9445384352	0.9833647660	0.8164156661	0.3893418473	0.9999866233	0.9999458611	0.9999976886	0.9999999942	0.9949872072	0.9847610488	0.9597727747	0.9994026972	0.9084538048	0.9980632576	0.9998057586	0.9998509323	0.9978688315	0.9798939329	0.6805477076	0.6942514868
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bifidobacterium.s__Bifidobacterium_longum	0.0174537341	0.1052599194	0.0576176123	0.1729700666	0.0764565093	0.2834592771	0.1313729050	0.2453001912	0	0	0.0068913952	0.1520395813	0	0	0.2861824629	0.0027310788	0.0823398087	0.0352715441	0.4397877743	0.3159816828	0.0629665305	0.0482176358	0.0063351483	0.3238103706
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0764056941	0	0	0
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Enterobacter.s__Enterobacter_aerogenes	0	0.4251851075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae	0.1207946780	0.2243119325	0.0452447195	0.0346471671	0.0025790319	0.1728739809	0.5376621749	0.0307908502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Escherichia.s__Escherichia_coli	0.1916185586	0.0528703016	0.4489329233	0.2135669251	0.0148443153	0.0174258542	0.1013951572	0.8823215588	0	0	0.4406411634	0.0362917470	0	0	0.2464653468	0.3872988963	0.3122204898	0.2417071302	0.6282918760	0.6169348760	0.2351778252	0.0166342110	0.0365427344	0.3036046930
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.5721226265	0.7783650013	0	0	0.5839772154	0.1427787706	0	0	0	0	0.3748519397	0	0.1799997550	0.1886941872	0	0	0	0.1315712586	0.1124042027	0.1943431072	0.1539285106	0.2861164883	0.4407584780	0.1733687062
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0.0351100604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Klebsiella.s__Klebsiella_pneumoniae	0.0006361122	0.0000039121	0.2407190885	0.0102136105	0.0003126946	0.0001543422	0.0016552455	0.0208538245	0.0004309913	0.0111799777	0	0	0.0111598586	0.0551559830	0	0	0	0	0	0	0	0	0	0
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0.8824493959	0.9331573810	0.9115986251	0.6450157521	0.7167076818	0.6575337019	0.7565798152	0.7977751955	0	0	0	0	0	0	0	0
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Lactobacillus.s__Lactobacillus_salivarius	0.5512834104	0	0.6032193302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	0.0005664324	0.0190283028	0	0.0010580161	0.0000000101	0	0.0235499878	0	0.1529663279	0.0333576294	0.0026472278	0	0	0.0487998403	0	0	0.2555745360	0	0	0	0	0.0002267965	0	0
