# Pathway	Exp1A1_prefix.assembled_Abundance	Exp1A2_prefix.assembled_Abundance	Exp1AS1_prefix.assembled_Abundance	Exp1AS2_prefix.assembled_Abundance	Exp1C1_prefix.assembled_Abundance	Exp1C2_prefix.assembled_Abundance	Exp1S1_prefix.assembled_Abundance	Exp1S2_prefix.assembled_Abundance	Exp2A1_prefix.assembled_Abundance	Exp2A2_prefix.assembled_Abundance	Exp2AS1_prefix.assembled_Abundance	Exp2AS2_prefix.assembled_Abundance	Exp2C1_New.assembled_Abundance	Exp2C2_prefix.assembled_Abundance	Exp2S1_prefix.assembled_Abundance	Exp2S2_prefix.assembled_Abundance	Exp3A1_prefix.assembled_Abundance	Exp3A2_prefix.assembled_Abundance	Exp3AS1_prefix.assembled_Abundance	Exp3AS2_prefix.assembled_Abundance	Exp3C1_prefix.assembled_Abundance	Exp3C2_prefix.assembled_Abundance	Exp3S1_prefix.assembled_Abundance	Exp3S2_prefix.assembled_Abundance
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.000729729	0.000723795	0.000977009	0.000980802	0.000768276	0.000733025	0.00098179	0.000967483	0.000742827	0.000734302	0.00137255	0.00144622	0.000751664	0.000693823	0.00144402	0.00137648	0.00136466	0.00132541	0.00168178	0.00166801	0.00131746	0.00137302	0.00152717	0.00158585
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Acidaminococcus.s__Acidaminococcus_fermentans	4.51902e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0.000467942	0.000485872	0.000734671	0.000767353	0.000527705	0.000515007	0.000750958	0.000744443	0.000398443	0.00048573	0.00106785	0.00121538	0.000393814	0.000335393	0.00124602	0.00115411	0.000665707	0.000689933	0.00066154	0.000637014	0.000661194	0.000673414	0.000624917	0.000662232
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bifidobacterium.s__Bifidobacterium_angulatum	5.1453e-05	4.95387e-05	2.53844e-05	1.29066e-05	4.32419e-05	3.75405e-05	2.33501e-05	1.93473e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bifidobacterium.s__Bifidobacterium_catenulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000479016	0.000405266	0.000824466	0.000841514	0.000405983	0.000474956	0.000726331	0.000745722
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Butyrivibrio.s__Butyrivibrio_crossotus	5.17969e-07	0	0	7.48218e-07	4.82925e-07	0	6.75493e-07	9.35647e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.61795e-06	0	0	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Escherichia.s__Escherichia_coli	6.2221e-05	6.08349e-05	6.60805e-05	5.25646e-05	6.52637e-05	6.43551e-05	5.9786e-05	6.60981e-05	0	0	2.23648e-05	3.47698e-05	0	0	5.07388e-05	3.92192e-05	4.22677e-05	4.61779e-05	3.51688e-05	3.71481e-05	4.21963e-05	4.29277e-05	3.95204e-05	3.88095e-05
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Eubacterium.s__Eubacterium_rectale	0	0	0	0	0	0	0	0	0	0	0	0	1.93077e-06	9.19579e-07	0	0	2.61171e-06	2.93325e-06	2.28574e-06	3.10754e-06	3.50066e-06	4.8136e-06	3.0139e-06	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.58031e-06	9.24237e-07	0	1.19376e-06	1.20689e-06	0	0	1.10664e-06	0	9.45628e-07	0	0	0	1.44533e-06	0	0	4.10758e-06	2.73538e-06	4.73266e-06	5.67405e-06	5.44362e-06	0	5.39457e-06	5.01736e-06
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0.000259373	0.000172231	0.000227067	0.000139686	0.000284055	0.000286582	9.02804e-05	0.000136717	0	0	0	0	0	0	0	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Lactobacillus.s__Lactobacillus_ruminis	4.58524e-05	2.99525e-05	6.14436e-05	7.23362e-05	3.49511e-05	3.17889e-05	7.15469e-05	7.22431e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	7.03131e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified	6.50283e-06	3.80747e-06	0	7.20058e-06	5.26064e-06	2.77264e-06	0	3.32359e-06	0	0	0	4.31608e-06	3.14327e-06	3.69161e-06	0	0	8.85648e-06	5.63379e-06	3.76875e-06	4.81851e-06	1.38817e-05	9.41056e-06	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.000726477	0.000717089	0.000972116	0.000975059	0.000768343	0.000730476	0.000973131	0.000961587	0.000732674	0.000726098	0.00135865	0.00143645	0.000745232	0.000683432	0.00143525	0.0013799	0.00132715	0.00130436	0.00166513	0.00165196	0.00130093	0.00136203	0.00150902	0.00156709
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Acidaminococcus.s__Acidaminococcus_fermentans	3.955e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0912e-06	0	0	1.19986e-06	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0.000466062	0.000480585	0.000730628	0.000759916	0.000527615	0.000512457	0.000742515	0.000740239	0.000393467	0.000484399	0.0010661	0.00121367	0.000393067	0.000333364	0.00124494	0.0011606	0.00065566	0.000684253	0.000662856	0.00063518	0.000654427	0.000664053	0.000625772	0.000649272
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bifidobacterium.s__Bifidobacterium_angulatum	5.03316e-05	4.91022e-05	2.51059e-05	1.25676e-05	4.20042e-05	3.68368e-05	2.31353e-05	1.9185e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bifidobacterium.s__Bifidobacterium_animalis	2.98312e-06	2.792e-06	2.33832e-06	2.25066e-06	3.45983e-06	1.57939e-06	2.4883e-06	2.41809e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bifidobacterium.s__Bifidobacterium_catenulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000468324	0.00040277	0.000817243	0.000836021	0.000406565	0.000472415	0.000712285	0.0007452
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_torques	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34764e-06	0	0	0	0	0	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Butyrivibrio.s__Butyrivibrio_crossotus	4.27604e-07	0	0	6.15454e-07	4.43003e-07	0	6.85821e-07	9.35583e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60872e-06	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Enterobacter.s__Enterobacter_cloacae	0	0	1.80454e-06	0	1.99085e-06	2.86438e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	6.45781e-05	6.60518e-05	7.02191e-05	6.32876e-05	6.89725e-05	6.56924e-05	6.50399e-05	6.77794e-05	0	0	2.593e-05	3.4389e-05	0	0	5.5108e-05	4.68958e-05	4.24036e-05	4.57588e-05	3.53572e-05	3.8197e-05	4.343e-05	4.44582e-05	4.19178e-05	4.65314e-05
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Eubacterium.s__Eubacterium_rectale	0	0	0	0	0	0	0	0	0	0	0	0	1.74067e-06	9.15336e-07	0	0	2.51501e-06	2.93526e-06	2.28491e-06	3.04693e-06	3.22518e-06	4.3651e-06	2.8318e-06	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.91628e-06	1.14559e-06	8.53854e-07	1.43253e-06	1.35111e-06	6.34998e-07	1.40834e-06	1.06157e-06	1.13967e-06	1.08637e-06	1.1854e-06	0	1.20273e-06	1.33125e-06	0	9.49265e-07	5.56331e-06	5.30448e-06	5.76429e-06	7.29669e-06	6.2036e-06	6.6217e-06	5.80439e-06	6.2309e-06
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0.0002474	0.000166231	0.000217672	0.000128494	0.000272082	0.000272699	8.56746e-05	0.000132074	0	0	0	0	0	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Lactobacillus.s__Lactobacillus_ruminis	4.19429e-05	2.54911e-05	5.82978e-05	6.80284e-05	3.16245e-05	2.94439e-05	6.5865e-05	6.67309e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	5.97658e-07	0	4.71748e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified	5.84696e-06	3.69581e-06	0	5.91371e-06	4.76819e-06	2.33921e-06	0	3.04388e-06	0	2.42585e-06	0	3.27739e-06	2.66302e-06	3.29281e-06	0	0	7.86923e-06	4.81344e-06	3.4362e-06	3.92878e-06	1.08917e-05	8.57442e-06	0	0
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	0	0	0	0	0	0	0	0	7.68071e-06	0	0	0	3.70183e-05	0	0	0	0	0	0	0	0	0	0	0
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	9.27424e-05	8.97778e-05	8.5012e-05	8.72198e-05	0.000112905	9.86962e-05	8.17754e-05	7.66678e-05	9.20062e-06	1.06603e-05	2.965e-05	2.8513e-05	1.20268e-05	7.47188e-06	5.11651e-05	3.66035e-05	0.000122606	7.54789e-05	5.5868e-05	4.46125e-05	7.31289e-05	6.83464e-05	6.30703e-05	6.1348e-05
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|g__Enterobacter.s__Enterobacter_aerogenes	0	0	0	0	5.08233e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|g__Enterobacter.s__Enterobacter_cloacae	1.60776e-05	1.43179e-05	1.05812e-05	8.75305e-06	1.35838e-05	2.23664e-05	9.86388e-06	8.4768e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|g__Escherichia.s__Escherichia_coli	6.13631e-05	5.7128e-05	5.64884e-05	6.56239e-05	7.70101e-05	5.59058e-05	6.3092e-05	6.2976e-05	0	0	2.59744e-05	2.59928e-05	0	0	4.77909e-05	3.27092e-05	6.11947e-05	4.75334e-05	3.27818e-05	2.92925e-05	4.03655e-05	4.15433e-05	4.16396e-05	4.35784e-05
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	4.94379e-06	2.7684e-06	1.52614e-06	0	2.53014e-06	1.39894e-06	1.54635e-06	2.40527e-06	1.22324e-06	0	1.16226e-06	0	1.09239e-06	0	1.4489e-06	1.19334e-06	1.01469e-05	1.24238e-05	1.25864e-05	7.78074e-06	1.32043e-05	1.1966e-05	7.80812e-06	8.98222e-06
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|unclassified	0	8.63982e-07	0	0	7.27766e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0.0001387	0.000143548	0.0001086	0.000111535	0.000141626	0.000139189	0.00010951	0.000109622	0.000133615	0.000127769	4.06005e-05	4.28194e-05	0.000130967	0.000131031	6.26968e-05	4.50647e-05	6.06039e-05	5.37469e-05	4.77399e-05	4.30446e-05	5.41598e-05	6.44413e-05	5.48252e-05	5.79923e-05
PWY-6519: 8-amino-7-oxononanoate biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae	0	0	0	0	0	2.3468e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I|g__Escherichia.s__Escherichia_coli	6.33503e-05	6.83564e-05	5.81996e-05	5.49962e-05	7.17331e-05	6.71807e-05	5.99794e-05	5.64761e-05	0	0	2.19041e-05	2.35685e-05	0	0	4.21343e-05	2.82052e-05	4.5404e-05	4.27932e-05	2.82421e-05	2.9094e-05	3.96661e-05	4.92085e-05	3.37412e-05	3.98004e-05
PWY-6519: 8-amino-7-oxononanoate biosynthesis I|g__Klebsiella.s__Klebsiella_pneumoniae	2.89771e-05	3.55286e-05	1.55787e-05	1.48256e-05	3.06614e-05	3.15275e-05	1.36621e-05	1.26514e-05	9.69602e-05	9.41727e-05	0	0	9.56998e-05	9.25073e-05	0	0	0	0	0	0	0	0	0	0
PWY-6527: stachyose degradation	0.00020097	0.000192101	0.000202791	0.000193635	0.00018858	0.000180092	0.000205221	0.000185944	1.05448e-06	8.66145e-06	7.1735e-05	7.77977e-05	1.57763e-06	6.16571e-06	0.000112601	8.39443e-05	0.000106723	9.35659e-05	8.25255e-05	7.31811e-05	0.000106742	0.000104663	8.44349e-05	9.24306e-05
PWY-6527: stachyose degradation|g__Dorea.s__Dorea_longicatena	4.27195e-07	2.99021e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.54343e-07	0	6.10297e-07	9.08966e-07	0	0
PWY-6527: stachyose degradation|g__Escherichia.s__Escherichia_coli	5.13226e-05	4.92052e-05	4.33525e-05	3.69562e-05	5.37515e-05	4.77757e-05	5.18698e-05	4.2099e-05	0	0	2.05583e-05	1.95072e-05	0	0	4.16623e-05	2.94393e-05	3.67718e-05	3.76881e-05	2.71784e-05	2.14814e-05	3.53522e-05	4.49115e-05	2.83781e-05	3.58208e-05
PWY-6527: stachyose degradation|g__Klebsiella.s__Klebsiella_oxytoca	1.61597e-06	5.00479e-07	6.16091e-07	0	3.24735e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6527: stachyose degradation|unclassified	4.59133e-06	4.35492e-06	2.54573e-06	0	8.11306e-06	4.21437e-06	5.37503e-06	0	0	0	0	0	0	1.4857e-06	0	0	0	0	0	2.89752e-06	0	5.32413e-06	0	0
PWY-6531: mannitol cycle	4.85527e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87101e-06	0	0
PWY-6531: mannitol cycle|g__Escherichia.s__Escherichia_coli	4.8365e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80103e-06	0	0
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	3.00928e-05	2.17888e-05	8.13353e-05	7.56742e-05	3.99562e-05	2.62879e-05	8.86812e-05	0.000108512	2.14421e-05	1.65762e-05	8.60936e-05	6.978e-05	1.84257e-05	2.6407e-05	0.000112689	9.241e-05	3.78209e-05	4.18073e-05	4.33055e-05	2.57926e-05	5.82512e-05	4.08013e-05	8.5036e-05	4.94948e-05
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|g__Escherichia.s__Escherichia_coli	1.50196e-06	1.80758e-06	5.4045e-05	5.16694e-05	1.21324e-06	7.74198e-06	6.25785e-05	7.58927e-05	0	0	2.59017e-05	3.28294e-05	0	0	4.91291e-05	4.15461e-05	4.83961e-06	3.66079e-06	2.71467e-05	2.1023e-05	3.82298e-06	2.9446e-06	5.80486e-05	3.84662e-05
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|unclassified	4.78046e-06	0	0	0	1.91371e-06	0	0	0	3.35333e-06	2.62315e-06	0	0	0	2.93834e-06	0	0	0	0	0	0	0	0	0	0
PWY-6588: pyruvate fermentation to acetone	1.82624e-06	6.67568e-06	0	3.41472e-06	7.94575e-06	4.70769e-06	1.68089e-06	0	0	0	0	0	0	0	0	0	1.72153e-05	2.33242e-05	5.40232e-06	0	1.11486e-05	1.58719e-06	1.12737e-06	4.19512e-06
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	1.86294e-05	1.31902e-05	6.32526e-06	1.02503e-05	1.32715e-05	9.10661e-06	9.81948e-06	7.53021e-06	0.000166068	0.000152709	0.000104365	0.000106862	0.00015125	0.000180336	0.000130266	0.000115934	0.000129853	0.000112894	0.000107345	9.65206e-05	0.00013028	0.000124277	0.000119234	0.000108447
PWY-6595: superpathway of guanosine nucleotides degradation (plants)|unclassified	0	0	0	0	0	0	0	0	1.78344e-06	0	0	0	2.84442e-06	3.47259e-06	0	0	0	0	0	0	0	0	0	0
PWY-6606: guanosine nucleotides degradation II	5.34081e-05	6.33391e-05	5.67419e-05	1.54607e-05	4.91198e-05	4.58308e-05	4.75701e-05	2.25423e-05	0.000141915	0.000135158	8.77711e-05	9.32668e-05	0.000128252	0.000154676	0.000121364	0.000102603	0.000118751	0.00010425	9.5534e-05	8.73548e-05	0.00011866	0.000113222	0.000111239	0.000101902
PWY-6606: guanosine nucleotides degradation II|g__Escherichia.s__Escherichia_coli	2.48301e-05	2.29249e-05	2.12139e-05	6.53062e-06	2.06222e-05	1.14864e-05	2.99519e-06	1.3614e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6606: guanosine nucleotides degradation II|unclassified	0	0	0	0	0	0	0	0	1.54061e-06	0	0	0	2.57667e-06	3.10264e-06	0	0	0	0	0	1.21391e-06	0	0	0	0
PWY-6608: guanosine nucleotides degradation III	0.000131496	0.00012766	0.000120015	0.000127952	0.000155271	0.000140871	0.000123327	0.000122884	0.000138805	0.000134143	8.53762e-05	9.29179e-05	0.000125414	0.000152583	0.000121598	9.9694e-05	9.69492e-05	9.32197e-05	7.37806e-05	7.74944e-05	0.00010642	9.44619e-05	9.58836e-05	8.9963e-05
PWY-6608: guanosine nucleotides degradation III|g__Coprococcus.s__Coprococcus_catus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05246e-06	0	0	0
PWY-6608: guanosine nucleotides degradation III|g__Escherichia.s__Escherichia_coli	9.0919e-05	9.94055e-05	0.000102807	9.87708e-05	0.000126014	0.000108623	9.05456e-05	9.72959e-05	0	0	3.93337e-05	5.95718e-05	0	0	7.69609e-05	6.41286e-05	7.62795e-05	7.40098e-05	5.17706e-05	5.63476e-05	8.49497e-05	8.1121e-05	7.75673e-05	7.85526e-05
PWY-6608: guanosine nucleotides degradation III|g__Klebsiella.s__Klebsiella_pneumoniae	2.45255e-05	2.93295e-05	2.35378e-05	7.6875e-06	2.44262e-05	2.72327e-05	1.61535e-05	7.82179e-06	0.000105879	9.68725e-05	0	0	9.39984e-05	0.000119921	0	0	0	0	0	0	0	0	0	0
PWY-6608: guanosine nucleotides degradation III|unclassified	3.21101e-06	0	2.87249e-06	0	2.49103e-06	0	0	0	1.47371e-06	0	0	0	2.49729e-06	3.04125e-06	2.57708e-06	0	0	0	2.57712e-06	2.89717e-06	3.7151e-06	0	0	2.61971e-06
PWY-6609: adenine and adenosine salvage III	0.000137797	0.000126606	0.000117247	9.73653e-05	0.000143372	0.000137205	0.000102468	0.000106343	0.000331164	0.000210813	0.000281722	0.000204924	0.000356271	0.000328281	0.000191586	0.000190029	9.99926e-05	0.000115387	7.53404e-05	0.000103351	0.000141095	0.000103305	0.000104464	0.000101402
PWY-6609: adenine and adenosine salvage III|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.58106e-06	0	0	0
PWY-6609: adenine and adenosine salvage III|g__Enterobacter.s__Enterobacter_cloacae	1.64576e-05	1.37206e-05	5.54385e-06	1.12001e-05	1.50489e-05	1.28494e-05	9.25276e-06	6.02731e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6609: adenine and adenosine salvage III|g__Escherichia.s__Escherichia_coli	6.74709e-05	5.69888e-05	6.82398e-05	6.8755e-05	9.17732e-05	7.50479e-05	5.74312e-05	6.64156e-05	0	0	2.73727e-05	3.56329e-05	0	0	5.56292e-05	3.41619e-05	5.73349e-05	4.8644e-05	2.30598e-05	3.4183e-05	4.64027e-05	5.11065e-05	6.18908e-05	5.95301e-05
PWY-6609: adenine and adenosine salvage III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1.34975e-06	0	0	0	0	3.01057e-06	0	1.18053e-06	0	1.75315e-06	0	0	1.07947e-06	0	1.30089e-06	0	2.72408e-06	9.80302e-06	7.76075e-06	1.24102e-05	8.88846e-06	6.04284e-06	6.38039e-06	0
PWY-6609: adenine and adenosine salvage III|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	6.21326e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6609: adenine and adenosine salvage III|g__Klebsiella.s__Klebsiella_pneumoniae	2.7388e-05	2.87433e-05	1.44604e-05	1.39492e-05	2.80321e-05	2.89747e-05	9.03104e-06	1.17602e-05	6.87044e-05	6.99204e-05	0	0	6.70948e-05	7.81904e-05	1.30032e-06	0	0	0	0	0	0	0	0	0
PWY-6609: adenine and adenosine salvage III|g__Lactobacillus.s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	0.000283918	0.000180137	0.000244838	0.00016006	0.000299955	0.000282379	0.000120488	0.000128431	0	0	0	0	0	0	0	0
PWY-6609: adenine and adenosine salvage III|unclassified	2.09876e-06	4.79048e-07	1.51632e-06	6.16669e-07	0	0	4.11841e-07	0	2.31169e-06	3.26095e-06	0	0	3.28141e-06	2.86356e-06	0	0	3.43277e-06	0	5.92318e-06	0	0	0	3.49128e-06	3.40614e-06
PWY-6612: superpathway of tetrahydrofolate biosynthesis	0.000100297	0.000104597	9.66238e-05	8.7212e-05	0.000113578	0.000100754	0.000105665	0.000104084	0	0	0.00015943	0.000172493	0	0	0.000140127	0.000162894	6.51224e-05	6.90636e-05	4.87171e-05	4.3782e-05	5.76433e-05	6.06445e-05	5.43989e-05	5.53355e-05
PWY-6612: superpathway of tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli	6.35891e-05	6.74453e-05	6.05543e-05	5.36558e-05	7.17085e-05	6.46185e-05	6.35729e-05	6.59172e-05	0	0	2.92822e-05	3.63828e-05	0	0	4.30296e-05	4.36827e-05	4.57069e-05	4.5772e-05	3.08215e-05	3.00436e-05	4.0014e-05	4.09185e-05	3.68191e-05	3.90633e-05
PWY-6628: superpathway of L-phenylalanine biosynthesis	0.000269059	0.00024161	0.000235314	0.000200419	0.000252573	0.000255589	0.000224583	0.000224009	0.000242575	0.000225696	8.2715e-05	0.000100764	0.00022339	0.000218417	0.000133311	0.000105101	0.000109934	0.000113144	9.5208e-05	0.000100908	0.000113763	9.57641e-05	0.000125472	0.000107975
PWY-6628: superpathway of L-phenylalanine biosynthesis|g__Escherichia.s__Escherichia_coli	7.09644e-05	7.22941e-05	6.59947e-05	6.34433e-05	7.00933e-05	7.17241e-05	7.23869e-05	7.22648e-05	0	0	2.89713e-05	3.46227e-05	0	0	5.46958e-05	4.27862e-05	4.19502e-05	4.39961e-05	3.15768e-05	3.75439e-05	4.1343e-05	4.26322e-05	4.85723e-05	4.28973e-05
PWY-6628: superpathway of L-phenylalanine biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	3.59137e-05	3.84254e-05	2.24715e-05	1.56822e-05	3.91295e-05	3.60721e-05	1.76173e-05	1.6386e-05	9.84849e-05	9.63463e-05	0	0	9.12501e-05	9.67669e-05	0	0	0	0	0	0	0	0	0	0
PWY-6628: superpathway of L-phenylalanine biosynthesis|unclassified	3.19074e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.61131e-06	0	0	0
PWY-6629: superpathway of L-tryptophan biosynthesis	0.000148852	0.0001471	0.000142324	0.000141243	0.000159529	0.000131842	0.000145783	0.000150304	0	0	5.95229e-05	6.80449e-05	0	0	9.69609e-05	8.15857e-05	8.45596e-05	8.56005e-05	7.53379e-05	0.000101656	0.000101751	8.87392e-05	0.000100882	0.000110093
PWY-6629: superpathway of L-tryptophan biosynthesis|g__Escherichia.s__Escherichia_coli	6.12138e-05	6.20136e-05	5.5846e-05	5.52257e-05	6.23126e-05	5.83354e-05	6.17617e-05	6.26948e-05	0	0	2.48904e-05	2.81684e-05	0	0	4.83473e-05	3.90348e-05	3.24305e-05	3.51782e-05	2.40702e-05	3.17924e-05	3.63325e-05	3.53019e-05	4.17714e-05	3.81184e-05
PWY-6629: superpathway of L-tryptophan biosynthesis|unclassified	3.72911e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6630: superpathway of L-tyrosine biosynthesis	0.000291324	0.000258008	0.000275126	0.000240356	0.000274818	0.000280754	0.000266307	0.000267221	0.000221067	0.000211017	8.48924e-05	9.84558e-05	0.000206103	0.000201889	0.000144825	0.000106002	0.000140667	0.000142322	0.000124427	0.000141086	0.000139371	0.000121685	0.000155914	0.000148206
